Désignation,Référence,Enseigne,Représentant,Famille,Secteur,Tél,adresse,code_postal,commune,TOPCLIENT,longitude,latitude,result_score,result_score_next,result_label,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district,result_status
NOTRE DAME DES PINS EHPAD,3933,,Dorian SANCHEZ,EHPAD,Sud-Est,04 66 54 30 10,"41, rute de Saint-Privat",30340,ST PRIVAT DES VIEUX,-,4.117541,44.134027,0.7971461983471074,0.5800494258373206,41 Route de Saint Privat 30340 Saint-Privat-des-Vieux,housenumber,30294_1030_00041,41,41 Route de Saint Privat,Route de Saint Privat,30340,Saint-Privat-des-Vieux,"30, Gard, Occitanie",30294,,,,ok
NOTRE DAME ST JOSEPH EHPAD,3376,,Celine LUCION,EHPAD,Grand Nord-Est,03 88 05 85 85,4 rue soeur elisabeth eppinger,67110,NIEDERBRONN LES BAINS,-,7.644765,48.948786,0.9181720376175548,,4 Rue Soeur Elisabeth Eppinger 67110 Niederbronn-les-Bains,housenumber,67324_0727_00004,4,4 Rue Soeur Elisabeth Eppinger,Rue Soeur Elisabeth Eppinger,67110,Niederbronn-les-Bains,"67, Bas-Rhin, Grand Est",67324,,,,ok
NOTRE MAISON EHPAD,2925,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 59 22 70 00,"78, Avenue de Verdun",64200,BIARRITZ,-,-1.548637,43.481767,0.9187077005347593,,78 Avenue de Verdun 64200 Biarritz,housenumber,64122_2010_00078,78,78 Avenue de Verdun,Avenue de Verdun,64200,Biarritz,"64, Pyrénées-Atlantiques, Nouvelle-Aquitaine",64122,,,,ok
OLIVIER DARBLADE EHPAD,3783,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 58 71 41 00,18 rue du Général Labat,40800,AIRE SUR L'ADOUR,-,-0.265558,43.700955,0.9159361264822133,,18 Rue du Général Labat 40800 Aire-sur-l'Adour,housenumber,40001_0420_00018,18,18 Rue du Général Labat,Rue du Général Labat,40800,Aire-sur-l'Adour,"40, Landes, Nouvelle-Aquitaine",40001,,,,ok
ORTHEZIA EHPAD EMEIS,17225,EMEIS (ANCIEN ORPEA),Caroline VILLEMUR,EHPAD,Sud-Ouest,05 59 38 36 04,a/a de M. BOTELLA,64300,ORTHEZ,-,-0.698716,43.444225,0.4658554545454545,0.46334727272727266,Route D'orthez 64300 Maslacq,street,64367_0240,,Route D'orthez,Route D'orthez,64300,Maslacq,"64, Pyrénées-Atlantiques, Nouvelle-Aquitaine",64367,,,,ok
OSTEYS EHPAD,3366,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 59 44 71 00,A/a de Mme Nadège DARBON,64100,BAYONNE,-,-1.438452,43.493856,0.48038060606060606,,Chemin de Madame 64100 Bayonne,street,64102_1513,,Chemin de Madame,Chemin de Madame,64100,Bayonne,"64, Pyrénées-Atlantiques, Nouvelle-Aquitaine",64102,,,,ok
OZANAM RESIDENCE,5499,,Celine LUCION,EHPAD,Grand Nord-Est,03 29 33 21 97,"3, rue du Stade",88460,CHENIMENIL,-,6.594351,48.131733,0.890388973607038,0.6977502020202019,3 Rue du Stade 88460 Cheniménil,housenumber,88101_0086_00003,3,3 Rue du Stade,Rue du Stade,88460,Cheniménil,"88, Vosges, Grand Est",88101,,,,ok
PAUL ANE EHPAD,5242,,Caroline VILLEMUR,EHPAD,Sud-Ouest,,Avenue de la Baraque,09140,SEIX,-,1.204893,42.865486,0.889958973607038,0.6023863157894737,Avenue de la Baraque 09140 Seix,street,09285_0041,,Avenue de la Baraque,Avenue de la Baraque,09140,Seix,"09, Ariège, Occitanie",09285,,,,ok
PAUL CEZANNE EHPAD,8127,DOMIDEP,Dorian SANCHEZ,EHPAD,Sud-Est,04 92 30 40 00,A l'attention de Madame WALLY,04350,MALIJAI,-,6.028847,44.05214,0.39312808080808076,0.384028347107438,Chemin de l’Olivette 04350 Malijai,street,04108_0135,,Chemin de l’Olivette,Chemin de l’Olivette,04350,Malijai,"04, Alpes-de-Haute-Provence, Provence-Alpes-Côte d'Azur",04108,,,,ok
PAUSA LEKUA EHPAD,3334,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 59 70 27 00,Centre Bourg,64240,ISTURITZ,-,-1.334666,43.460427,0.3761112396694215,,Route du Bourg 64240 Briscous,street,64147_2260,,Route du Bourg,Route du Bourg,64240,Briscous,"64, Pyrénées-Atlantiques, Nouvelle-Aquitaine",64147,,,,ok
PELISSON FONTANIER EHPAD,3731,,Herve QUELO,EHPAD,Centre Auvergne,05 55 62 60 35,1 rue Chicanelle,23210,BENEVENT L'ABBAYE,-,1.625778,46.121361,0.8204115151515151,,1 Rue de La Chicanelle 23210 Bénévent-l'Abbaye,housenumber,23021_0064_00001,1,1 Rue de La Chicanelle,Rue de La Chicanelle,23210,Bénévent-l'Abbaye,"23, Creuse, Nouvelle-Aquitaine",23021,,,,ok
PETIT BOIS EHPAD,1453,,Laurent DURIEUX,EHPAD,Val de Loire,05 65 53 26 25,Résidence du Petit Bois,46090,PRADINES,-,1.413127,44.464559,0.4818965734265734,0.4585922314049587,Lotissement du Petit Puits 46090 Pradines,street,46224_x1z9pu,,Lotissement du Petit Puits,Lotissement du Petit Puits,46090,Pradines,"46, Lot, Occitanie",46224,,,,ok
PETITE UNITE DE VIE RESIDENCE L'OASIS,11102,,Herve QUELO,EHPAD,Centre Auvergne,04 77 61 42 75,51 Rue James Jackson,42500,LE CHAMBON FEUGEROLLES,-,4.342037,45.400033,0.9265687940630796,,51 Rue James Jackson 42500 Le Chambon-Feugerolles,housenumber,42044_0530_00051,51,51 Rue James Jackson,Rue James Jackson,42500,Le Chambon-Feugerolles,"42, Loire, Auvergne-Rhône-Alpes",42044,,,,ok
PETITES SOEURS DES PAUVRES,4135,,Herve QUELO,EHPAD,Centre Auvergne,04 77 68 32 02,"15, rue de l'Abbé Goulard",42300,ROANNE,-,4.077523,46.036687,0.9120163144963145,,15 Rue de l’Abbe Goulard 42300 Roanne,housenumber,42187_0003_00015,15,15 Rue de l’Abbe Goulard,Rue de l’Abbe Goulard,42300,Roanne,"42, Loire, Auvergne-Rhône-Alpes",42187,,,,ok
PETITES SOEURS DES PAUVRES,6985,PETITES SOEURS DES PAUVRES,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 56 90 12 20,181 Rue Judaïque,33000,BORDEAUX,-,-0.592007,44.84083,0.9275753372434017,,181 Rue Judaïque 33000 Bordeaux,housenumber,33063_4810_00181,181,181 Rue Judaïque,Rue Judaïque,33000,Bordeaux,"33, Gironde, Nouvelle-Aquitaine",33063,,,,ok
PETITES SOEURS DES PAUVRES - LONS LE SAUNIER,8378,PETITES SOEURS DES PAUVRES,Aurelien COURTOISIER,EHPAD,Centre-Est,03 84 86 15 15,2 A rue des Mouilleres,39000,LONS LE SAUNIER,-,5.5611,46.674079,0.8626553535353534,,2a Rue des Mouillères 39000 Lons-le-Saunier,housenumber,39300_0690_00002_a,2a,2a Rue des Mouillères,Rue des Mouillères,39000,Lons-le-Saunier,"39, Jura, Bourgogne-Franche-Comté",39300,,,,ok
PETITES SOEURS DES PAUVRES EHPAD,4285,,Aurelien COURTOISIER,EHPAD,Centre-Est,04 72 10 60 80,"81, rue Hénon",69004,LYON 04,-,4.823358,45.779506,0.5759205128205127,,81 Rue Jacques-Louis Hénon 69004 Lyon,housenumber,69384_3465_00081,81,81 Rue Jacques-Louis Hénon,Rue Jacques-Louis Hénon,69004,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69384,,,Lyon 4e Arrondissement,ok
PETITES SOEURS DES PAUVRES EHPAD,5043,PETITES SOEURS DES PAUVRES,Aurelien COURTOISIER,EHPAD,Centre-Est,04 76 89 28 66,117 Grande Rue,38700,LA TRONCHE,-,5.7363,45.20335,0.9084989736070379,0.5967355555555556,117 Grande Rue 38700 La Tronche,housenumber,38516_0290_00117,117,117 Grande Rue,Grande Rue,38700,La Tronche,"38, Isère, Auvergne-Rhône-Alpes",38516,,,,ok
PETITES SOEURS DES PAUVRES EHPAD,5211,PETITES SOEURS DES PAUVRES,Dorian SANCHEZ,EHPAD,Sud-Est,04 91 50 42 12,"29, rue Jeanne Jugan",13004,MARSEILLE 04,-,5.399975,43.31066,0.8951535626535626,,29 Rue jeanne jugan 13004 Marseille,housenumber,13204_4807_00029,29,29 Rue jeanne jugan,Rue jeanne jugan,13004,Marseille,"13, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur",13204,,,Marseille 4e Arrondissement,ok
PETITES SOEURS DES PAUVRES NICE +,0292,PETITES SOEURS DES PAUVRES,Dorian SANCHEZ,EHPAD,Sud-Est,04 93 85 82 14,"1 bis, Rue de la Gendarmerie",06000,NICE,-,7.281432,43.711066,0.8579298834498834,0.6499229313543597,1bis Rue de la Gendarmerie 06000 Nice,housenumber,06088_2820_00001_bis,1bis,1bis Rue de la Gendarmerie,Rue de la Gendarmerie,06000,Nice,"06, Alpes-Maritimes, Provence-Alpes-Côte d'Azur",06088,,,,ok
PIERRE GUICHENEY EHPAD,4231,,Niels COLLEU,EHPAD,Normandie,02 43 37 71 31,11 RUE DU TRIANON,53410,BOURGNEUF LA FORET,-,-0.969339,48.163513,0.8512271717171715,0.6877431468531469,11 Rue du Trianon 53410 Le Bourgneuf-la-Forêt,housenumber,53039_0223_00011,11,11 Rue du Trianon,Rue du Trianon,53410,Le Bourgneuf-la-Forêt,"53, Mayenne, Pays de la Loire",53039,,,,ok
PIERRE MENDES FRANCE EHPAD,3791,,Celine LUCION,EHPAD,Grand Nord-Est,03 87 58 63 02,44 rue de Foch,57250,MOYEUVRE GRANDE,-,6.044199,49.250936,0.6712909671179883,0.6055414718614718,44 Rue du Marechal Foch 57250 Moyeuvre-Grande,housenumber,57491_0450_00044,44,44 Rue du Marechal Foch,Rue du Marechal Foch,57250,Moyeuvre-Grande,"57, Moselle, Grand Est",57491,,,,ok
PIERRE MONDINE EHPAD (EX-PROMEDIK),4638,,IDF,EHPAD,Ile de France,02 38 34 56 00,Rue d'Arconville,45480,OUTARVILLE,-,2.015089,48.211135,0.7830716461916463,,Avenue d’Arconville 45480 Outarville,street,45240_0020,,Avenue d’Arconville,Avenue d’Arconville,45480,Outarville,"45, Loiret, Centre-Val de Loire",45240,45240,Outarville,,ok
PIN ET SOLEIL EHPAD,11912,,Dorian SANCHEZ,EHPAD,Sud-Est,04 94 33 20 40,2 AVENUE DU CALVAIRE,83790,PIGNANS,-,6.22961,43.303341,0.8461117647058822,,Avenue du Calvaire 83790 Pignans,street,83092_0077,,Avenue du Calvaire,Avenue du Calvaire,83790,Pignans,"83, Var, Provence-Alpes-Côte d'Azur",83092,,,,ok
POINCARE EHPAD BOUXIERES-AUX-DAMES,10396,,Celine LUCION,EHPAD,Grand Nord-Est,03 83 22 71 33,8 Rue Raymond Poincaré,54136,BOUXIERES AUX DAMES,-,6.16182,48.750241,0.9252557575757576,,8 Rue Raymond Poincaré 54136 Bouxières-aux-Dames,housenumber,54090_0800_00008,8,8 Rue Raymond Poincaré,Rue Raymond Poincaré,54136,Bouxières-aux-Dames,"54, Meurthe-et-Moselle, Grand Est",54090,,,,ok
PORTES DE SOLOGNE,12854,KORIAN,Herve QUELO,EHPAD,Centre Auvergne,02 48 75 04 05,7 rue Pierre Dubournou,18100,VIERZON,-,2.06232,47.223252,0.8212647846889951,0.6361139467849223,7 Rue Pierre Debournou 18100 Vierzon,housenumber,18279_2710_00007,7,7 Rue Pierre Debournou,Rue Pierre Debournou,18100,Vierzon,"18, Cher, Centre-Val de Loire",18279,,,,ok
PRE FORNET EHPAD,7769,EMERA,Aurelien COURTOISIER,EHPAD,Centre-Est,04 50 63 55 00,1 ROUTE DES BLANCHES,74600,SEYNOD,-,6.104501,45.882282,0.7714045454545454,,1 Route des Blanches 74600 Annecy,housenumber,74010_3221_00001,1,1 Route des Blanches,Route des Blanches,74600,Annecy,"74, Haute-Savoie, Auvergne-Rhône-Alpes",74010,74268,Seynod,,ok
PROTESTANTE EHPAD,1565,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 63 03 44 69,18 quai Montmurat,82000,MONTAUBAN,-,1.350571,44.019568,0.908647217630854,,18 quai montmurat 82000 Montauban,housenumber,82121_5320_00018,18,18 quai montmurat,quai montmurat,82000,Montauban,"82, Tarn-et-Garonne, Occitanie",82121,,,,ok
PUI DE L'EHPAD DU CH DE MAULEON,6666,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 59 28 79 00,4 avenue de Tréville,64130,MAULEON LICHARRE,-,-0.889469,43.217956,0.916933065539112,,4 Avenue de Tréville 64130 Mauléon-Licharre,housenumber,64371_0710_00004,4,4 Avenue de Tréville,Avenue de Tréville,64130,Mauléon-Licharre,"64, Pyrénées-Atlantiques, Nouvelle-Aquitaine",64371,,,,ok
PUI EHPAD ST - GOTHARD (CF INFORMATION),15311,,Celine LUCION,EHPAD,Grand Nord-Est,03 88 37 83 00,"6, rue de Schaffhouse",67000,STRASBOURG,-,7.756101,48.57869,0.9184563144963144,,6 Rue de Schaffhouse 67000 Strasbourg,housenumber,67482_6240_00006,6,6 Rue de Schaffhouse,Rue de Schaffhouse,67000,Strasbourg,"67, Bas-Rhin, Grand Est",67482,,,,ok
PUV SAINTE-MARIE,17289,,Dorian SANCHEZ,EHPAD,Sud-Est,04 95 25 86 58,LD Cantege,20167,CUTTOLI CORTICCHIATO,-,8.850697,41.972435,0.708900288248337,0.698000288248337,Canteghji 20167 Cuttoli-Corticchiato,street,2A103_944af7,,Canteghji,Canteghji,20167,Cuttoli-Corticchiato,"2A, Corse-du-Sud, Corse",2A103,,,,ok
RENAISSANCE MAYOL EHPAD,4206,,Dorian SANCHEZ,EHPAD,Sud-Est,04 94 16 91 91,Rue Henri Pertus,83000,TOULON,-,5.937986,43.120405,0.8995758934169278,,Rue Henri Pertus 83000 Toulon,locality,83137_3589,,Rue Henri Pertus,,83000,Toulon,"83, Var, Provence-Alpes-Côte d'Azur",83137,,,,ok
RENE LENCOU EHPAD,6542,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 63 55 50 20,18 Rue René Lencou,81120,REALMONT,-,2.197931,43.776664,0.9028044903581267,,18 Rue René Lencou 81120 Réalmont,housenumber,81222_0156_00018,18,18 Rue René Lencou,Rue René Lencou,81120,Réalmont,"81, Tarn, Occitanie",81222,,,,ok
REPOS ET SANTE EHPAD,0135,,Dorian SANCHEZ,EHPAD,Sud-Est,05 65 47 05 31,Le Bourg,12800,SAUVETERRE DE ROUERGUE,-,2.314574,44.247484,0.7175918181818182,0.7066918181818181,le Bès 12800 Sauveterre-de-Rouergue,street,12262_mwbg1a,,le Bès,le Bès,12800,Sauveterre-de-Rouergue,"12, Aveyron, Occitanie",12262,,,,ok
RESIDENCE A QUIETUDINE,3677,,Dorian SANCHEZ,EHPAD,Sud-Est,00 377 99 99 79 00,"5-7, avenue du Port",98000,MONACO,-,0.592493,49.489444,0.3374090909090909,,7 Rue de Monaco 76330 Port-Jérôme-sur-Seine,housenumber,76476_0614_00007,7,7 Rue de Monaco,Rue de Monaco,76330,Port-Jérôme-sur-Seine,"76, Seine-Maritime, Normandie",76476,76476,Notre-Dame-de-Gravenchon,,ok
RESIDENCE AIGUE MARINE EHPAD LNA,9053,Le Noble Âge,Dorian SANCHEZ,EHPAD,Sud-Est,04 94 29 85 16,1159 CHEMIN DE REGAGNEU,83150,BANDOL,-,5.732366,43.141757,0.5034299999999999,0.5010172727272727,Chemin de Roustagon 83150 Bandol,street,83009_0364,,Chemin de Roustagon,Chemin de Roustagon,83150,Bandol,"83, Var, Provence-Alpes-Côte d'Azur",83009,,,,ok
RESIDENCE ALICE SAR,3994,AMAPA,Celine LUCION,EHPAD,Grand Nord-Est,03 87 65 08 00,"9, Impasse des petites Fontaines",57070,VANTOUX,-,6.226003,49.129474,0.9036477777777777,0.5266777622377622,9 Impasse des Petites Fontaines 57070 Vantoux,housenumber,57693_0220_00009,9,9 Impasse des Petites Fontaines,Impasse des Petites Fontaines,57070,Vantoux,"57, Moselle, Grand Est",57693,,,,ok
RESIDENCE ARBRE DE VIE,3584,,Aurelien COURTOISIER,EHPAD,Centre-Est,04 50 43 50 61,222 route FRAMBOISES,74140,MACHILLY,X,6.328461,46.249338,0.8062271328671328,,222 Route des framboises 74140 Machilly,housenumber,74158_0045_00222,222,222 Route des framboises,Route des framboises,74140,Machilly,"74, Haute-Savoie, Auvergne-Rhône-Alpes",74158,,,,ok
RESIDENCE ARC EN CIEL (EX-PROMEDIK),9228,,Laurent DURIEUX,EHPAD,Val de Loire,02 43 93 79 20,5 Porte De L'orthiau,72320,MONTMIRAIL,-,0.790735,48.101554,0.8961135872235871,,5 Porte de L Orthiau 72320 Montmirail,housenumber,72208_0565_00005,5,5 Porte de L Orthiau,Porte de L Orthiau,72320,Montmirail,"72, Sarthe, Pays de la Loire",72208,,,,ok
RESIDENCE ARTEMIS,4831,COLISEE,Aurelien COURTOISIER,EHPAD,Centre-Est,03 84 73 03 00,"11, rue du petit puits",39110,SALINS LES BAINS,-,5.852815,46.952942,0.7634612430426715,0.6353183216783217,11 Allée du Petit Puits 39110 Salins-les-Bains,housenumber,39500_0558_00011,11,11 Allée du Petit Puits,Allée du Petit Puits,39110,Salins-les-Bains,"39, Jura, Bourgogne-Franche-Comté",39500,,,,ok
RESIDENCE AUTONOMIE LA GIRARDIERE,17496,,Laurent DURIEUX,EHPAD,Val de Loire,02 41 62 50 32,2 allée des aigles,49300,CHOLET,-,-0.901336,47.044779,0.8999771554252198,0.40710167019027477,2 Allée des Aigles 49300 Cholet,housenumber,49099_0017_00002,2,2 Allée des Aigles,Allée des Aigles,49300,Cholet,"49, Maine-et-Loire, Pays de la Loire",49099,49099,Cholet,,ok
RESIDENCE AUTONOMIE LE BOSQUET,17497,,Laurent DURIEUX,EHPAD,Val de Loire,02 41 62 23 36,"51, rue du paradis",49300,CHOLET,-,-0.871802,47.063182,0.9135321212121212,,51 Rue du Paradis 49300 Cholet,housenumber,49099_3290_00051,51,51 Rue du Paradis,Rue du Paradis,49300,Cholet,"49, Maine-et-Loire, Pays de la Loire",49099,49099,Cholet,,ok
RESIDENCE AUTONOMIE NOTRE DAME,17498,,Laurent DURIEUX,EHPAD,Val de Loire,02 41 62 85 79,"7, RUE TOURNERIT",49300,CHOLET,-,-0.884549,47.059563,0.9038458441558441,0.6840572727272727,7 Rue Tournerit 49300 Cholet,housenumber,49099_4500_00007,7,7 Rue Tournerit,Rue Tournerit,49300,Cholet,"49, Maine-et-Loire, Pays de la Loire",49099,49099,Cholet,,ok
RESIDENCE BOIS VALLON,2943,EMERA,Herve QUELO,EHPAD,Centre Auvergne,04 73 88 26 00,"1, Rue de la Chenaie",63122,CEYRAT,-,3.06433,45.748101,0.8972090909090908,,1 rue de la Chênaie 63122 Ceyrat,housenumber,63070_0253_00001,1,1 rue de la Chênaie,rue de la Chênaie,63122,Ceyrat,"63, Puy-de-Dôme, Auvergne-Rhône-Alpes",63070,,,,ok
RESIDENCE BOUIC MANOURY,15709,,Celine LUCION,EHPAD,Grand Nord-Est,02 35 96 77 11,373 Rue du Général de Gaulle,76640,FAUVILLE EN CAUX,-,0.998795,49.786438,0.5999932756132755,0.5240644425385934,Place du General de Gaulle 76730 Bacqueville-en-Caux,street,76051_0029,,Place du General de Gaulle,Place du General de Gaulle,76730,Bacqueville-en-Caux,"76, Seine-Maritime, Normandie",76051,,,,ok
RESIDENCE CAMILLE CLAUDEL,3567,,Aurore Auffret,EHPAD,Bretagne,02 40 45 85 55,RUE CAMILLE CLAUDEL,44570,TRIGNAC,-,-2.184521,47.316049,0.8994363085399448,0.7139910047846889,Rue Camille Claudel 44570 Trignac,street,44210_0101,,Rue Camille Claudel,Rue Camille Claudel,44570,Trignac,"44, Loire-Atlantique, Pays de la Loire",44210,,,,ok
RESIDENCE COLISEE DE LA TOUR,4930,COLISEE,Dorian SANCHEZ,EHPAD,Sud-Est,04 75 00 00 32,490 Chemin des Asclépios,26790,LA BAUME DE TRANSIT,-,4.86147,44.312642,0.9119699999999998,,490 Chemin des Asclépios 26790 La Baume-de-Transit,housenumber,26033_0039_00490,490,490 Chemin des Asclépios,Chemin des Asclépios,26790,La Baume-de-Transit,"26, Drôme, Auvergne-Rhône-Alpes",26033,,,,ok
RESIDENCE COTE D'AMOUR,3630,,Aurore Auffret,EHPAD,Bretagne,02 40 61 50 50,AVENUE DES PALOMBES,44380,PORNICHET,-,-2.335042,47.2644,0.9073501298701299,0.6618907538802661,Avenue des Palombes 44380 Pornichet,street,44132_1059,,Avenue des Palombes,Avenue des Palombes,44380,Pornichet,"44, Loire-Atlantique, Pays de la Loire",44132,,,,ok
RESIDENCE COURTILLE,18698,,Herve QUELO,EHPAD,Centre Auvergne,0555816083,3 RUE RAYMOND CHRISTOFLOUR,23000,GUERET,-,1.856616,46.169761,0.9067717715617715,,3 Rue Raymond Christoflour 23000 Guéret,housenumber,23096_1713_00003,3,3 Rue Raymond Christoflour,Rue Raymond Christoflour,23000,Guéret,"23, Creuse, Nouvelle-Aquitaine",23096,,,,ok
RESIDENCE CROIX ROUGE FRANCAISE,3141,,Laurent DURIEUX,EHPAD,Val de Loire,05 65 32 42 92,Route Saint Denis,46110,VAYRAC,-,1.713535,44.954464,0.6424396969696968,0.6202775757575757,Route de Saint Céré 46110 Vayrac,street,46330_cyv5dq,,Route de Saint Céré,Route de Saint Céré,46110,Vayrac,"46, Lot, Occitanie",46330,,,,ok
RESIDENCE DAMPIERRE,5240,,Celine LUCION,EHPAD,Grand Nord-Est,03 20 75 41 40,,59100,ROUBAIX,-,3.183662,50.688454,0.9564063636363636,0.5242572727272727,Roubaix,municipality,59512,,Roubaix,,59100,Roubaix,"59, Nord, Hauts-de-France",59512,,,,ok
RESIDENCE DE L'AGARET EHPAD,5152,,Laurent DURIEUX,EHPAD,Val de Loire,02 51 90 90 27,9 RUE DU SABLAIS,85470,BREM SUR MER,-,-1.837785,46.605481,0.8498793506493505,,Rue du sablais 85470 Brem-sur-Mer,street,85243_0218,,Rue du sablais,Rue du sablais,85470,Brem-sur-Mer,"85, Vendée, Pays de la Loire",85243,,,,ok
RESIDENCE DE L'ILE VERTE,3243,,Aurore Auffret,EHPAD,Bretagne,02 40 78 70 50,35 Rue de I'Ile Verte,44310,ST PHILBERT DE GRAND LIEU,-,-1.643757,47.037738,0.7878457473035438,0.5338994843962008,35 Rue de l'Île Verte 44310 Saint-Philbert-de-Grand-Lieu,housenumber,44188_0212_00035,35,35 Rue de l'Île Verte,Rue de l'Île Verte,44310,Saint-Philbert-de-Grand-Lieu,"44, Loire-Atlantique, Pays de la Loire",44188,,,,ok
RESIDENCE DE LA PLAINE EHPAD (CHORUSPRO),4603,,Laurent DURIEUX,EHPAD,Val de Loire,05 49 63 01 74,3 boulevard des acacias,79390,THENEZAY,-,-0.024798,46.721317,0.9011776555023923,0.5556103557312253,3 Boulevard des Acacias 79390 Thénezay,housenumber,79326_0010_00003,3,3 Boulevard des Acacias,Boulevard des Acacias,79390,Thénezay,"79, Deux-Sèvres, Nouvelle-Aquitaine",79326,,,,ok
RESIDENCE DE LA VALLEE DU VOLP,1786,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 61 96 22 00,Route de Cazères,09230,STE CROIX VOLVESTRE,-,1.147063,43.13708,0.8092828063241106,,Route de Cazères 09230 Sainte-Croix-Volvestre,street,09257_0003,,Route de Cazères,Route de Cazères,09230,Sainte-Croix-Volvestre,"09, Ariège, Occitanie",09257,,,,ok
RESIDENCE DE LA VIGNE,3404,,Celine LUCION,EHPAD,Grand Nord-Est,03 20 58 43 64,place du général de Gaulle,59184,SAINGHIN EN WEPPES,-,2.899457,50.563094,0.9158739215686273,,Place du Général De Gaulle 59184 Sainghin-en-Weppes,street,59524_0400,,Place du Général De Gaulle,Place du Général De Gaulle,59184,Sainghin-en-Weppes,"59, Nord, Hauts-de-France",59524,,,,ok
RESIDENCE DE RETRAITE VAXY,3641,COLISEE,Celine LUCION,EHPAD,Grand Nord-Est,0387052023,MOULIN DE DOMEVRE,57170,VAXY,-,6.522805,48.863023,0.8675531168831169,0.6122302639296187,Moulin de Domèvre 57170 Vaxy,street,57702_B063,,Moulin de Domèvre,Moulin de Domèvre,57170,Vaxy,"57, Moselle, Grand Est",57702,,,,ok
RESIDENCE DE SEVRES,15524,DOMIDEP,IDF,EHPAD,Ile de France,01 40 48 31 00,81 Rue Vaneau,75007,PARIS 07,-,2.320302,48.849166,0.8728480808080806,0.6317739393939392,81 Rue Vaneau 75007 Paris,housenumber,75107_9588_00081,81,81 Rue Vaneau,Rue Vaneau,75007,Paris,"75, Paris, Île-de-France",75107,,,Paris 7e Arrondissement,ok
RESIDENCE DES 3 MOULINS,16486,,Aurore Auffret,EHPAD,Bretagne,02 40 97 80 20,600 rue de l 'Ouche,44440,RIAILLE,-,-1.29952,47.517404,0.9001790909090909,,600 Rue de l'Ouche 44440 Riaillé,housenumber,44144_0870_00600,600,600 Rue de l'Ouche,Rue de l'Ouche,44440,Riaillé,"44, Loire-Atlantique, Pays de la Loire",44144,,,,ok
RESIDENCE DES SOURCES EHPAD,0779,,Laurent DURIEUX,EHPAD,Val de Loire,02.41.64.61.68,"6, Rue d'Anjou",49230,SEVREMOINE,-,-1.143318,47.152745,0.6351198989898988,0.6065592344497607,6 Rue du Douet 49230 Sèvremoine,housenumber,49301_1993_00006,6,6 Rue du Douet,Rue du Douet,49230,Sèvremoine,"49, Maine-et-Loire, Pays de la Loire",49301,49349,Tillières,,ok
RESIDENCE DES SOURCES EHPAD,8573,Le Noble Âge,Aurelien COURTOISIER,EHPAD,Centre-Est,04 50 84 67 50,8 ROUTE DE L'HORLOGE,74500,EVIAN LES BAINS,-,6.576865,46.394163,0.9163572294372293,,8 Route De L Horloge 74500 Évian-les-Bains,housenumber,74119_0478_00008,8,8 Route De L Horloge,Route De L Horloge,74500,Évian-les-Bains,"74, Haute-Savoie, Auvergne-Rhône-Alpes",74119,,,,ok
RESIDENCE DOCTEUR GEHERRE LAMOTTE,16405,,Niels COLLEU,EHPAD,Normandie,02 43 70 52 08,17 RUE DE MORANNES,53290,ST DENIS D'NJOU,-,-0.441638,47.78961,0.7562906324110672,0.6611063636363635,17 Rue de Morannes 53290 Saint-Denis-d'Anjou,housenumber,53210_0360_00017,17,17 Rue de Morannes,Rue de Morannes,53290,Saint-Denis-d'Anjou,"53, Mayenne, Pays de la Loire",53210,,,,ok
RESIDENCE DU BARETOUS,6667,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 59 34 66 08,Quartier Ripaude,64570,ARAMITS,-,-0.719956,43.134283,0.5731281818181818,0.5384186868686869,Quartier Narbé 64570 Aramits,locality,64029_7m41mb,,Quartier Narbé,,64570,Aramits,"64, Pyrénées-Atlantiques, Nouvelle-Aquitaine",64029,,,,ok
RESIDENCE DU BOCAGE,2284,CEMAVIE,Aurore Auffret,EHPAD,Bretagne,02 40 72 35 45,340 rue Bocage,44440,JOUE SUR ERDRE,-,-1.415425,47.495952,0.8354682296650717,,340 Rue du Bocage 44440 Joué-sur-Erdre,housenumber,44077_0042_00340,340,340 Rue du Bocage,Rue du Bocage,44440,Joué-sur-Erdre,"44, Loire-Atlantique, Pays de la Loire",44077,,,,ok
RESIDENCE DU BOIS CLAIR,5482,,IDF,EHPAD,Ile de France,02 32 60 06 63,ASCENSEUR RUE VIGNES,27320,NONANCOURT,-,1.201996,48.772213,0.5908219068736141,0.5703975898520085,Rue des Vignes 27320 Nonancourt,street,27438_0124,,Rue des Vignes,Rue des Vignes,27320,Nonancourt,"27, Eure, Normandie",27438,,,,ok
